Kerekes Gábor,		2010-11-10 19:00:00	2010-11-12 18:00:00	2013-05-07 16:30:00	2013-05-07 16:30:00	2013-05-08 19:00:00	2013-05-10 11:00:00	2016-02-03 18:00:00	2016-02-03 18:00:00	2004-07-28 18:00:00	2004-07-29 19:30:00	2014-06-12 20:00:00	2014-06-13 18:00:00	2014-01-22 18:00:00	2014-01-23 19:00:00	2007-03-20 18:00:00	2007-03-20 18:00:00	2007-03-20 19:00:00	2007-03-20 18:00:00	2016-05-06 18:00:00	2016-05-06 19:00:00	2008-11-04 18:30:00	2007-11-01 19:00:00	2007-10-30 10:00:00	2013-09-10 19:00:00	2013-09-11 19:00:00	2007-11-27 19:30:00	2007-11-27 19:00:00	2011-02-19 16:00:00	2011-02-15 19:00:00	2016-10-19 18:00:00	2017-02-11 10:30:00	2017-02-10 17:00:00	2008-04-25 19:00:00	2008-04-22 19:00:00	2013-11-13 18:00:00	2013-11-13 18:00:00	2013-11-14 18:00:00	2013-11-16 18:00:00	2008-03-20 18:00:00	2008-03-18 18:00:00	2013-09-28 16:00:00	2015-03-31 19:30:00	2015-04-02 19:00:00	2014-11-10 19:00:00	2014-11-13 18:00:00	2006-09-09 21:00:00	2006-09-07 19:00:00	2010-10-28 18:00:00	2010-10-29 11:00:00	2009-11-25 16:00:00	2017-02-16 19:00:00	2017-02-16 19:00:00	2017-02-18 10:00:00	2000-05-23 17:00:00	2007-05-03 17:00:00	2007-05-03 19:00:00	2006-12-04 18:00:00	2006-12-05 19:00:00	2007-01-23 18:00:00	2017-12-16 10:00:00	2003-12-04 18:00:00	2011-01-29 18:00:00	2011-01-25 19:00:00	2010-06-22 18:15:00	2013-05-28 18:00:00	2013-05-28 18:00:00	2009-07-30 18:00:00	2009-07-30 14:00:00	2014-07-17 18:00:00	2014-07-16 10:00:00	2007-04-11 18:00:00	2007-04-11 18:00:00	2007-04-10 19:00:00	2012-07-08 16:00:00	2012-07-05 19:00:00	2007-12-18 20:00:00	2007-12-12 18:00:00	2011-04-19 19:00:00	2011-04-19 19:00:00	2016-04-13 18:00:00	2016-04-13 18:00:00	2016-04-14 18:00:00	2016-04-14 19:00:00	2005-12-02 17:00:00	2018-04-21 11:00:00	2018-04-17 10:00:00	2005-12-17 15:00:00	2005-12-16 19:00:00	2017-06-27 19:00:00	2017-06-30 18:00:00	2016-11-26 16:00:00	2016-11-25 18:00:00	2005-03-24 18:00:00	2005-03-21 21:00:00	2000-02-28 19:00:00	2000-03-03 18:00:00	2013-02-27 18:00:00	2007-02-08 18:00:00	2007-02-10 19:00:00	2013-06-04 18:00:00	2013-06-07 19:00:00	2003-03-28 21:00:00	2017-12-05 17:00:00	2013-09-07 16:00:00	2013-09-07 10:00:00	2007-02-02 18:00:00	2007-02-02 19:00:00	2000-03-21 18:00:00	2000-03-22 19:00:00	2004-10-13 18:00:00	2004-10-11 10:00:00	2016-03-25 14:00:00	2016-03-24 12:00:00	2014-11-06 18:00:00	2014-11-07 18:00:00
Martin Blazícek (CZ),		2012-02-15 18:00:00
Kerekes Gábor		2014-06-12 20:00:00	2014-06-11 18:00:00	2012-06-09 16:00:00	2012-06-07 19:00:00	2015-11-14 10:00:00	2015-11-12 19:00:00	2011-05-10 18:00:00	2011-05-13 11:00:00	2001-05-28 16:00:00	2001-06-01 19:00:00
TÁRLATVEZETÉS: 9 MŰTEREMBŐL		2018-02-14 18:00:00	2018-02-14 17:00:00
Sophie Webel,		2004-06-10 18:00:00
Harsanyi Réka,		2006-05-02 18:00:00	2006-05-04 18:00:00
Anne Breimaier		2018-04-26 20:00:00	2018-04-24 18:00:00
Keiko Sei,		2000-09-07 18:00:00	2012-02-23 18:00:00	2012-02-25 14:00:00	2009-11-14 19:30:00	2009-11-10 18:00:00
Miguel Angel Ríos,		2018-06-23 10:00:00	2018-06-19 16:00:00
Gáspár Dániel,		2016-06-28 17:00:00	2016-06-28 19:00:00
