	step4	step5
427	A jászberényi Art Campeinek egyestés kiállítása	Art Campeinek egyestés
428	A kerékpár kultúrtörténete	DELETED
429	A kerékpár kultúrtörténete	DELETED
430	A kiallitast bevezeti Stanislas Pierret Egyuttmukodesi es kulturalis tanacsos	kiallitast Stanislas Pierret Egyuttmukodesi kulturalis tanacsos
431	A kilátóterasz	DELETED
432	A kiállítás Erdély Miklós Alapítvánnyal együttműködve jött létre	Erdély Miklós Alapítvánnyal
433	A kiállítás Erdély Miklós Alapítvánnyal együttműködve jött létre	Erdély Miklós Alapítvánnyal
434	A kiállítás fővédnöke Sólyom László a Magyar Köztársaság elnöke	Sólyom László Magyar Köztársaság
435	A kiállítás fővédnöke Sólyom László a Magyar Köztársaság elnöke	Sólyom László Magyar Köztársaság
436	A kiállítás helyszíne Jászberény	DELETED
437	A kiállítás helyszíne Jászberény	DELETED
438	A kiállítás kurátora	DELETED
439	A kiállítás kurátora	DELETED
440	A kiállítás szervezői Bátai Sándor  HAász Ágnes	Bátai Sándor HAász Ágnes
441	A kiállítás szervezői Bátai Sándor  HAász Ágnes	Bátai Sándor HAász Ágnes
442	A kiállítás szervezői Sass Valéria	Sass Valéria
443	Szabó Ádám	Szabó Ádám
