	step6	version 6 - top sim	version 6 - cnt
631	bartok bela	67	4
632	adorjan attila ruth barabash	55	1
633	makoldi gizella	62	1
634	rekowska izabella	57	1
635	hegedus tibor	62	2
636	paszthy bea	57	1
637	gerlinde pistner	58	2
638	avi feldman	50	4
639	miklos szilard	77	24
640	torok tunde	67	12
641	wolfgang becker	52	2
642	yousuf karsh	59	2
643	ezust gy zoltan	64	2
644	lakatos norbert	59	2
645	viktoria uhalova	74	2
646	arne jacobsen	64	1
647	hahn ferenc	67	2
648	mundruczo kornel	50	3
649	csepregi janos	62	4
650	monika merva	64	3
651	irina berlizeva	52	2
652	lazar alexandra emese	61	1
653	christian boltanski	56	16
654	balogh istvan	64	2
655	ben muthofer	58	2
656	kiallitas rathonyi kinga porcelanmunkaibol	49	1
657	jozef robakowski	50	11
658	keith haring	52	10
659	josika dalkor	56	3
660	gombos andrea	67	25
661	bodolay geza	58	1
662	peter olsen	64	2
663	katarzyna kozyra	62	12
664	dora attila basszusklarinet	55	2
665	lengyel zsolt	74	2
666	michal moravcik	64	2
667	karlheinz adler	59	10
668	fajgerne dudas andrea alkotas	50	2
669	siegfried canto	56	1
670	vali dezso	52	16
671	ozdik orsolya dla	62	3
672	hudak maja	61	2
673	csabai eniko	64	2
674	erhard miklos mediamuvesz	55	2
675	michael borremans	62	5
676	reszegh botond	54	13
677	kovacs reka	70	4
678	maros eva harfan	64	2
679	rajcsok attila	71	14
680	hegyeshalmi laszlo muveszetek haza	52	2
681	franti1ek kowolowski	56	2
682	huller agoston	61	9
683	neumann ildiko	62	2
684	office subversive architecture	48	11
685	ughy attila	64	6
686	radoczy balint	69	2
687	szarka mandity krisztina	65	2
688	maksym iurovnikov	52	2
689	szalai bori	76	2
690	ricardo portilho	59	2
691	utopia disztopiapalyazat	47	1
692	borsi judit	73	2
693	bosztori petra	67	2
694	kurucz petra	58	2
695	mori beata	64	1
696	deli anett magyarorszag	61	2
697	kerges tunde	61	2
698	profpeter weiermair	53	2
699	tradicio oltozektervezocsoport	42	1
700	agnieszka rays	76	2
701	czajlik jozsef szinhazi	50	2
702	belegi marta sendorma	55	2
703	vazsonyi janos	62	8
704	muvek szent istvan kiraly muzeum	50	2
705	sulizakar szabolcs	69	33
706	balazs gabor	75	4
707	monika wanyuradkurosad	53	2
708	molnos peter	78	4
709	peter fanni	64	2
710	balazs peter	78	14
711	dobner edit	56	2
712	martinko mark	56	52
713	margita titlova ylovsky	57	2
714	tomas moravec	69	7
715	pavlics tamas galeriavezeto	56	1
716	albrecht zsofia	71	4
717	hanne tornoe	58	1
718	szollosi daniel	62	1
719	kadar kata	76	2
720	graham fagen	52	2
721	agnes rodier	58	3
722	andreas muhe	67	2
723	bojtor verebella	60	2
724	dariusz kowalski	56	2
725	pasti nora	60	2
726	dolan gyorgy	75	2
727	gavril tarmure	50	2
728	kulturalis ugyosztalyvezeto	52	2
729	eross agost koppany	61	2
730	bruncsak andras	62	2
731	anezka hoskova	60	3
732	oexc pascale andreani	54	2
733	turanyi gabor	75	13
734	magyar tudomanyos akademia feny ev programbizottsaganak	43	2
735	szilagyi szabolcs	69	2
736	compagnie pal frenak	56	4
737	agnieszka brzezanska	76	2
738	meszaros bianka	80	3
739	beatkoho akusztik	57	2
740	csikai marta	61	1
741	szasz veronika	59	4
742	lowas peter	78	3
743	matthias weischer	53	5
744	tintalo tarsulas	54	2
745	naray tamas	70	2
746	hunya gabor	75	2
747	szabo csaba	62	2
748	lee mcdonald	54	1
749	blaskone majko katalin	61	4
750	ayoung kim	48	2
751	fazekas istvan	74	2
752	songul boyraz	52	2
753	balassa julia	60	1
754	hakli timea	62	2
755	bandy gyorgy	75	2
756	poharnok mihaly	50	2
757	fekete jee	76	3
758	molnar laszlo simon	57	2
759	turai hedvig	56	22
760	lengyel laszlo	81	1
761	pataki luca	57	2
762	barcza gergely	71	20
763	franz hofner	58	3
764	henn laszlo	78	2
765	anna meyer	58	2
766	kovats jazon	61	1
767	vattay elemer	55	3
768	gabos jozsef	82	31
769	odrobina tamas	72	2
770	piet tuytel	46	2
771	varro attila filmkritikus	50	2
772	bolyki viola	52	2
773	heitler andras	72	4
774	mazsaroff miklos	52	2
775	michael van abeele	57	1
776	szalai eszter	74	3
777	nik nowak	53	2
778	lukas jasansky	55	2
779	majoros aron	64	12
780	saghi bori	76	2
781	feher ferenc performansz	50	2
782	makarius sameer	59	4
783	bakonyi bence	62	10
784	pablo helguera	57	2
785	kiego izzok	48	6
786	tomas pospech	69	2
787	czitrom adam	54	1
788	oexc gajus scheltema	54	2
789	vargaamar laszlo	80	16
790	kalo emese	73	2
791	kopeczky rona	64	45
792	kovacs lehel	70	35
793	almasy oti	61	1
794	andy warhol recycling	55	1
795	abdellah karroum	52	2
796	crimson tom select	53	2
797	manfred wolffplottegg	50	4
798	zsikla monika	77	87
799	borbath peter	67	2
800	ko virag	56	2
801	feher laszlo	78	99
802	devenyi sandor dla	59	2
803	fischer eva	56	2
804	kocsis imre	70	22
805	maxime asiau	56	1
806	richter zsuzsa	67	2
807	viktorija ivanovska	74	2
808	haramza laszlo	80	2
809	jan steklik	67	4
810	mi kafchin	50	2
811	terv mediatora	56	2
812	maritza caneca	62	2
813	meszaros istvan	80	5
814	wagner janos	64	8
